node,x,y
5569,-13.355549,-373.188538
5558,-149.659286,-1504.146362
5646,-796.938293,141.818527
5000,-496.282959,844.576050
1997,291.320831,167.162811
2096,153.387100,90.489624
3361,-858.955139,718.321289
3511,185.198456,-352.330170
5958,531.771240,424.857300
4920,252.846344,-152.662064
1196,-187.222092,979.506592
3246,-192.149881,804.646965
4720,-784.926025,-1091.082886
1593,-733.645569,-1190.013062
1835,731.170776,458.759430
1400,734.989502,256.838074
4215,669.869934,243.642456
5473,656.223999,-640.619080
4815,291.192596,-444.150208
5125,494.090820,-236.291809
2512,191.097794,-506.387451
416,-1365.941650,-620.360535
4739,-155.603455,-454.637848
5402,300.604534,-111.665737
548,785.672241,202.844421
2888,-1251.331543,807.745911
682,720.066223,522.438416
1751,619.537048,323.299225
3135,-83.339386,1074.221313
5546,609.763367,403.702972
1965,1099.914673,426.133820
2310,756.582392,344.786685
5114,836.595825,426.696655
5018,751.042462,326.180949
3294,773.358276,61.535538
3129,-1029.853760,-679.398926
2369,-527.041382,605.756287
4477,-72.657265,958.365356
2110,43.277832,987.770508
3894,-253.149536,152.924469
5032,-0.797638,893.964905
2195,1266.673828,15.201118
5921,723.775696,439.746338
5168,509.239380,264.087280
5673,36.907263,815.246225
4244,114.363785,961.901855
3305,-54.884933,730.096985
428,124.789291,755.270020
5962,-485.537231,-758.975037
4794,-433.124557,-72.972853
5580,-458.639454,-47.280769
5867,-656.114624,1088.631836
2779,-193.384216,572.763977
1825,-141.470047,678.600159
1703,-882.030029,-97.633530
3165,-665.159119,83.580696
715,359.339142,-915.429749
80,1013.780762,1064.120361
2434,560.050110,652.468811
4796,982.798523,-300.793213
4022,594.334106,132.848328
3643,514.851257,130.186615
1542,560.457764,-672.669128
2780,-572.074097,-1063.737061
380,-563.413320,-947.831720
3312,-772.690186,-1108.857178
2438,-515.823853,-1190.775146
3144,-659.802002,-1129.901001
300,-770.323975,-1077.116943
6209,541.491156,212.557217
3818,549.186829,231.706131
2677,516.143311,176.137451
848,335.222565,74.637466
1532,326.625732,37.748226
4321,444.299683,-41.138027
4561,309.055054,-98.967575
444,1296.859619,-1030.116455
1866,67.746597,-819.822937
26,945.615540,652.090088
2517,145.266011,-302.735599
5416,-82.369972,-186.796127
4918,1514.469727,-111.045059
609,1555.378906,-343.556122
2093,1562.201416,-256.815887
2331,1588.976807,52.328690
4187,164.482941,-41.055984
5967,227.349121,-121.917969
4186,-28.649101,-694.053261
2998,-212.293961,-1507.727173
5039,477.462402,-94.492607
3804,-572.821167,-1176.903320
1784,279.771027,-197.576523
5041,972.633484,581.040283
3470,-591.538208,606.845215
2540,1102.724854,982.519409
3551,-420.769836,-1300.522095
491,136.105164,-374.311676
751,-63.269211,935.476196
206,1010.514893,-813.083252
2579,1014.856934,-539.832214
5991,-101.261127,40.987066
3491,-344.062317,-565.684937
1492,-980.137207,-965.557190
2954,-544.202454,-904.746521
1402,-549.656376,-515.795077
5914,-768.532328,-420.859254
286,489.446411,-905.922729
4813,680.864441,-1597.124634
1853,-1392.113037,591.183960
1448,266.863007,687.408325
4265,-1209.811523,820.684204
2891,-170.469990,878.486233
