node,x,y
5116,-438.532000,-88.532000
4900,126.011000,1023.592000
2604,-344.898000,-1350.169000
2445,-1538.368000,-47.688000
3452,847.789000,340.617000
4589,174.303000,-167.996000
3735,1218.703000,-142.715000
2034,-1292.979000,929.042000
3029,698.720000,-262.822000
1928,1250.653000,544.621000
3137,-1109.671000,-824.919000
2920,-164.908000,1218.248000
434,585.144000,1030.036000
4408,465.639000,1406.129000
3508,119.290000,1491.378000
4098,1168.219000,-542.929000
4046,-545.826000,-1027.541000
3245,-316.548000,-1495.713000
1530,-362.299000,1213.222000
2702,-376.088000,220.188000
671,1525.938000,-48.683000
2076,-1041.777000,-935.479000
3548,-957.390000,-1245.470000
1208,1257.154000,256.264000
1269,-790.521000,-992.906000
3346,-1715.810000,-215.179000
1171,541.246000,-741.089000
75,-1398.857000,-189.119000
1074,-1393.002000,-79.256000
1181,-791.411000,-289.293000
3687,1246.102000,836.236000
1710,-1521.881000,-705.441000
4711,24.061000,1501.977000
577,588.528000,448.816000
498,-1041.432000,-805.769000
3657,1302.994000,312.961000
61,-877.008000,-262.760000
3573,599.600000,-1432.408000
5385,108.319000,820.439000
918,-1174.226000,-718.797000
1301,-1040.027000,-910.798000
3532,79.220000,-1076.729000
5260,631.945000,1136.057000
5545,-485.537000,-758.975000
2299,374.936000,-1315.442000
880,-636.795000,-559.662000
3504,-635.751000,-947.908000
757,944.635000,-671.353000
3151,-358.648000,13.808000
3877,485.322000,1088.718000
5472,-675.430000,-629.890000
1524,-1506.259000,115.021000
3526,-266.817000,-426.673000
5591,-878.242000,-8.719000
5230,1198.900000,-455.562000
325,-1323.493000,-1221.476000
2085,253.952000,852.914000
2325,-1091.786000,-385.712000
990,1330.104000,-422.663000
4547,-558.303000,1166.743000
4800,-1103.628000,894.551000
5606,-1571.202000,-668.935000
228,565.793000,1312.313000
1940,1.626000,1234.530000
1572,-44.487000,789.765000
1139,-1291.836000,236.919000
1097,715.618000,-1209.146000
1719,271.194000,814.434000
5225,-939.077000,885.281000
144,-921.820000,1246.248000
1048,690.574000,-1148.223000
837,-491.512000,-1284.867000
570,-631.904000,-955.442000
2938,-754.016000,-33.220000
997,-1159.551000,501.066000
4610,-1126.391000,-1408.605000
2762,-788.365000,1222.140000
4254,-319.144000,845.626000
215,1129.612000,-1159.946000
4027,167.431000,-1370.170000
3265,-964.418000,-756.217000
1273,897.674000,-883.872000
1148,-1424.148000,-484.724000
5557,732.879000,313.696000
5037,458.959000,-432.813000
1965,54.115000,1526.987000
2071,1375.610000,350.593000
276,273.953000,-1349.847000
4511,1250.726000,-1048.062000
5244,1190.484000,-747.846000
1017,131.382000,366.904000
154,-233.605000,121.555000
1828,936.188000,-1316.241000
1296,-1122.507000,319.338000
1833,1252.481000,779.329000
4601,-217.716000,1053.815000
4488,-1572.245000,-202.396000
5013,-681.358000,919.048000
4590,-1042.166000,-644.824000
1179,-1505.592000,-589.953000
1117,-714.946000,-1469.235000
176,480.768000,-740.096000
540,-1416.035000,-903.977000
579,31.554000,-1440.439000
3812,-682.273000,555.543000
3844,715.918000,1090.307000
2335,-1303.310000,-543.317000
5440,-817.075000,-493.211000
2913,-1171.433000,-665.693000
4087,-234.796000,1414.173000
308,473.232000,235.861000
929,679.790000,-1372.917000
1722,532.759000,-1507.332000
1517,1067.491000,-581.852000
5507,-520.573000,-1715.972000
5374,196.015000,-1731.534000
4691,817.319000,-588.806000
453,440.971000,1433.124000
2344,133.414000,-317.329000
3499,788.782000,694.066000
3277,1256.996000,-779.076000
4482,514.683000,-482.076000
4231,1498.865000,-464.538000
4578,1319.163000,-351.864000
600,-439.388000,-580.733000
712,-523.388000,1459.458000
2008,1375.073000,658.943000
373,-703.755000,-1039.892000
1956,702.904000,1328.553000
5069,-941.439000,1253.020000
3257,1494.949000,260.726000
5229,-1675.480000,-173.251000
3336,-1073.152000,-789.970000
3092,1248.072000,865.855000
4663,-524.057000,1044.875000
677,-633.997000,372.474000
3768,798.497000,1222.087000
5502,-909.420000,-1439.677000
1081,-756.703000,1146.473000
508,-1705.929000,-469.603000
1106,-53.849000,-975.745000
